ID,s1,s2,s3,s4,s5,s6,s7
32070org,0.03041236,0.047808466,0,0.022253077,0.539220311,0.064084145,0.296221641
119058org,0.085946756,0.165195735,0.163225089,0.100690331,0.075398361,0.359534057,0.050009672
50495org,0.067726017,0.110473963,0.017584896,0.066514706,0.29517206,0.225464982,0.217063376
23868org,0.223308109,0.217273966,0.165226123,0.097371158,0,0.275122835,0.021697809
119148org,0.16856471,0.106097254,0.215881414,0.121483161,0.026085496,0.295229697,0.066658268
119127org,0.173988717,0.113174546,0.225294511,0.103194609,0.026776069,0.288252139,0.069319409
118947org,0.016690336,0.11175838,0.177947523,0.040205716,0.181339363,0.114970976,0.357087705
54327org,0.667900785,0.096568129,0.055266742,0,0,0.05091216,0.129352184
118976org,0.170331528,0.158762236,0.136036841,0.127855699,0.025429904,0.381583791,0
119178org,0.119666436,0.095658579,0.128160125,0.106716744,0.105243534,0.064602961,0.379951621
54288org,0,0.267182413,0.138974638,0.094682718,0.088555692,0.259385233,0.151219306
119025org,0.148611918,0.140663955,0.067126549,0.117804188,0.146877988,0.015127374,0.363788029
54059org,0.180020111,0.107366764,0.295623661,0,0.301114852,0.023731037,0.092143575
151723org,0.658539217,0.01742367,0.034613587,0.153396627,0,0.1360269,0
151761org,0.185569365,0.025449335,0.356633336,0,0.206097042,0,0.226250922
54276org,0.10184574,0.207060619,0.266513498,0,0.054686361,0.100576954,0.269316828
32077org,0.203640149,0.099761824,0.334749259,0,0.285623195,0,0.076225573
151773org,0,0.409870377,0.224467918,0.099831112,0.157440219,0,0.108390374
